timestamp,open,high,low,close,volume,turnover
1642886100000,35130.0,35351.5,35117.5,35225.5,100.794,3555134.2715
1642887000000,35225.5,35518.0,35177.5,35465.0,251.784,8914927.796
1642887900000,35465.0,35782.5,35323.0,35389.5,197.684,7019597.6445
1642888800000,35389.5,35389.5,35125.0,35238.5,68.795,2425951.539
1642889700000,35238.5,35250.5,35016.0,35016.5,63.673,2238100.1255
1642890600000,35016.5,35086.5,34863.0,34918.5,121.194,4236202.1495
1642891500000,34918.5,34918.5,34739.0,34863.5,119.976,4179527.1735
1642892400000,34863.5,34939.5,34755.0,34917.0,56.706,1976456.7195
1642893300000,34917.0,35054.0,34907.0,35054.0,43.655,1526341.97
1642894200000,35054.0,35086.0,34904.0,34904.5,105.17,3677758.799
1642895100000,34904.5,35055.0,34900.5,35055.0,41.149,1440090.6475
1642896000000,35055.0,35275.0,34959.5,35169.0,123.837,4348427.1375
1642896900000,35169.0,35407.0,35097.5,35378.0,83.123,2933570.0255
1642897800000,35378.0,35414.0,35249.0,35276.5,92.483,3266965.0275
1642898700000,35276.5,35401.5,35252.0,35379.0,47.767,1687416.9405
1642899600000,35379.0,35379.0,35267.0,35292.5,96.389,3403565.807
1642900500000,35292.5,35460.0,35276.0,35413.0,72.016,2545753.396
1642901400000,35413.0,35500.0,35357.0,35386.0,59.635,2111860.467
1642902300000,35386.0,35399.0,35291.0,35295.0,43.892,1551133.602
1642903200000,35295.0,35322.0,35111.5,35139.0,79.197,2788108.8335
1642904100000,35139.0,35188.0,35100.0,35154.5,50.521,1775466.564
1642905000000,35154.5,35233.0,35029.0,35029.0,63.6,2235146.323
1642905900000,35029.0,35093.0,34860.5,34861.5,134.359,4697839.2665
1642906800000,34861.5,34949.5,34861.0,34868.5,398.538,13923210.5095
1642907700000,34868.5,34968.5,34809.0,34889.5,77.606,2707370.2855
1642908600000,34889.5,35081.5,34889.5,35049.0,41.473,1450694.262
1642909500000,35049.0,35088.0,34997.0,35050.0,144.164,5053797.981
1642910400000,35050.0,35175.0,34979.5,35171.5,75.534,2651558.4975
1642911300000,35171.5,35281.5,35106.0,35226.0,138.82,4882047.764
1642912200000,35226.0,35255.5,35174.0,35189.5,102.221,3598046.3555
1642913100000,35189.5,35227.5,35144.0,35213.0,88.203,3105542.6285
1642914000000,35213.0,35256.0,34965.0,34985.5,154.116,5405487.598
1642914900000,34985.5,35073.5,34961.0,35066.0,156.371,5477412.7965
1642915800000,35066.0,35189.5,35065.5,35118.0,164.685,5787493.2625
1642916700000,35118.0,35544.0,35091.5,35450.0,283.68,10036252.0895
1642917600000,35450.0,35520.5,35286.5,35316.0,128.759,4555604.9745
1642918500000,35316.0,35497.0,35302.5,35315.5,83.663,2959202.3365
1642919400000,35315.5,35326.0,35165.0,35238.0,60.455,2133328.5045
1642920300000,35238.0,35299.0,35204.5,35275.0,29.1,1025480.4735
1642921200000,35275.0,35481.5,35231.0,35481.0,56.437,1994443.962
1642922100000,35481.0,35705.5,35472.0,35683.5,214.452,7625304.0865
1642923000000,35683.5,35748.0,35592.0,35670.0,177.369,6322386.903
1642923900000,35670.0,35670.0,35559.5,35573.0,77.589,2761009.512
1642924800000,35573.0,35949.5,35324.0,35677.5,151.07,5384123.125
1642925700000,35677.5,35760.0,35440.0,35455.0,157.772,5610132.7395
1642926600000,35455.0,35734.5,35455.0,35666.0,121.401,4331008.009
1642927500000,35666.0,35812.0,35604.0,35812.0,89.863,3205480.7905
1642928400000,35812.0,35931.5,35763.0,35870.0,186.674,6685818.0255
1642929300000,35870.0,36000.0,35801.0,35999.5,183.162,6572833.099
1642930200000,35999.5,36137.0,35907.0,35907.5,181.528,6540236.3475
1642931100000,35907.5,35948.0,35855.5,35862.0,170.98,6136671.0705
1642932000000,35862.0,35896.5,35715.0,35814.5,183.976,6584755.903
1642932900000,35814.5,35838.5,35694.5,35838.0,176.392,6311852.962
1642933800000,35838.0,35875.0,35776.0,35847.5,149.285,5346221.198
1642934700000,35847.5,35902.5,35680.0,35885.0,68.763,2461125.957
1642935600000,35885.0,35891.0,35795.5,35829.0,210.418,7539990.328
